# init_date: 2026-05-01
# valid_start: 2026-05-02
# valid_end: 2026-05-15
# forecast_source: seas5_operational_2026
# forecast_system_version: SEAS5
# n_ensemble_members: 25
# observation_dataset: chirps_obs
# climatology_period: obs_1993_2025
# index_definition: Rainfall percentile rank vs. historical distribution; percentage anomaly vs. climatology
# bias_correction_method: QDM (applied upstream by data provider, prior to ingestion)
# processing_date: 2026-07-19T07:36:44.846919+00:00
# software_version: 0.1.0-phase1
# no_rain_threshold_mm: 1.0
# spatial_resolution_deg: 0.25
lat,lon,spatial_ref,percentile
6.125,46.625,0,
6.125,46.875,0,
6.125,47.125,0,
6.125,47.375,0,
6.125,47.625,0,
6.125,47.875,0,
6.375,33.125,0,
6.375,33.375,0,
6.375,33.625,0,
6.375,33.875,0,
6.375,34.125,0,
6.375,34.375,0,
6.375,34.625,0,
6.375,34.875,0,24.242424242424242
6.375,35.125,0,18.18181818181818
6.375,35.375,0,24.242424242424242
6.375,35.625,0,21.21212121212121
6.375,35.875,0,27.272727272727273
6.375,36.125,0,21.21212121212121
6.375,36.375,0,24.242424242424242
6.375,36.625,0,27.272727272727273
6.375,36.875,0,21.21212121212121
6.375,37.125,0,24.242424242424242
6.375,37.375,0,36.36363636363636
6.375,37.625,0,33.333333333333336
6.375,37.875,0,45.45454545454545
6.375,38.125,0,66.66666666666667
6.375,38.375,0,72.72727272727272
6.375,38.625,0,84.84848484848484
6.375,38.875,0,66.66666666666667
6.375,39.125,0,60.60606060606061
6.375,39.375,0,51.515151515151516
6.375,39.625,0,45.45454545454545
6.375,39.875,0,69.6969696969697
6.375,40.125,0,69.6969696969697
6.375,40.375,0,78.78787878787878
6.375,40.625,0,75.75757575757575
6.375,40.875,0,75.75757575757575
6.375,41.125,0,69.6969696969697
6.375,41.375,0,69.6969696969697
6.375,41.625,0,66.66666666666667
6.375,41.875,0,63.63636363636363
6.375,42.125,0,57.57575757575758
6.375,42.375,0,60.60606060606061
6.375,42.625,0,60.60606060606061
6.375,42.875,0,45.45454545454545
6.375,43.125,0,45.45454545454545
6.375,43.375,0,45.45454545454545
6.375,43.625,0,48.484848484848484
6.375,43.875,0,45.45454545454545
6.375,44.125,0,54.54545454545455
6.375,44.375,0,48.484848484848484
6.375,44.625,0,54.54545454545455
6.375,44.875,0,60.60606060606061
6.375,45.125,0,60.60606060606061
6.375,45.375,0,66.66666666666667
6.375,45.625,0,63.63636363636363
6.375,45.875,0,66.66666666666667
6.375,46.125,0,63.63636363636363
6.375,46.375,0,60.60606060606061
6.375,46.625,0,
6.375,46.875,0,
6.375,47.125,0,
6.375,47.375,0,
6.375,47.625,0,
6.375,47.875,0,
6.625,33.125,0,
6.625,33.375,0,
6.625,33.625,0,
6.625,33.875,0,
6.625,34.125,0,
6.625,34.375,0,
6.625,34.625,0,33.333333333333336
6.625,34.875,0,27.272727272727273
6.625,35.125,0,24.242424242424242
6.625,35.375,0,27.272727272727273
6.625,35.625,0,27.272727272727273
6.625,35.875,0,18.18181818181818
6.625,36.125,0,18.18181818181818
6.625,36.375,0,21.21212121212121
6.625,36.625,0,24.242424242424242
6.625,36.875,0,21.21212121212121
6.625,37.125,0,24.242424242424242
6.625,37.375,0,24.242424242424242
6.625,37.625,0,27.272727272727273
6.625,37.875,0,33.333333333333336
6.625,38.125,0,51.515151515151516
6.625,38.375,0,63.63636363636363
6.625,38.625,0,78.78787878787878
6.625,38.875,0,63.63636363636363
6.625,39.125,0,51.515151515151516
6.625,39.375,0,42.42424242424242
6.625,39.625,0,42.42424242424242
6.625,39.875,0,54.54545454545455
6.625,40.125,0,66.66666666666667
6.625,40.375,0,75.75757575757575
6.625,40.625,0,69.6969696969697
6.625,40.875,0,78.78787878787878
6.625,41.125,0,81.81818181818181
6.625,41.375,0,72.72727272727272
6.625,41.625,0,72.72727272727272
6.625,41.875,0,60.60606060606061
6.625,42.125,0,57.57575757575758
6.625,42.375,0,57.57575757575758
6.625,42.625,0,54.54545454545455
6.625,42.875,0,51.515151515151516
6.625,43.125,0,42.42424242424242
6.625,43.375,0,39.39393939393939
6.625,43.625,0,45.45454545454545
6.625,43.875,0,48.484848484848484
6.625,44.125,0,54.54545454545455
6.625,44.375,0,60.60606060606061
6.625,44.625,0,48.484848484848484
6.625,44.875,0,60.60606060606061
6.625,45.125,0,54.54545454545455
6.625,45.375,0,66.66666666666667
6.625,45.625,0,69.6969696969697
6.625,45.875,0,69.6969696969697
6.625,46.125,0,63.63636363636363
6.625,46.375,0,60.60606060606061
6.625,46.625,0,57.57575757575758
6.625,46.875,0,
6.625,47.125,0,
6.625,47.375,0,
6.625,47.625,0,
6.625,47.875,0,
6.875,33.125,0,
6.875,33.375,0,
6.875,33.625,0,
